16,8,25,8,25,16,16,16
117,118,170,118,170,129,117,129
334,120,388,120,388,129,334,129
0,0,0,0,0,0,0,0
212,122,243,121,244,129,213,131
256,121,288,121,288,129,256,129
187,119,203,123,196,154,180,150
316,124,321,124,321,126,316,126
317,129,341,129,341,140,317,140
103,133,127,131,128,141,104,143
221,133,250,133,250,141,221,141
267,133,299,131,300,140,268,142
352,132,381,132,381,140,352,140
0,0,0,0,0,0,0,0
281,141,313,141,313,152,281,152
140,144,174,144,174,162,140,162
0,0,0,0,0,0,0,0
221,144,261,144,261,169,221,169
326,144,354,144,354,152,326,152
280,153,314,153,314,162,280,162
326,154,383,152,384,161,326,163
0,0,0,0,0,0,0,0
194,156,209,156,209,162,194,162
187,167,214,162,215,171,188,176
285,162,320,162,320,173,285,173
334,165,385,165,385,178,334,178
232,166,264,166,264,174,232,174
146,162,189,176,183,193,141,179
279,176,324,171,325,183,280,188
212,177,222,177,222,184,212,184
244,176,266,176,266,185,244,185
334,176,349,176,349,184,334,184
128,188,162,188,162,196,128,196
229,266,297,287,292,303,224,282
158,274,210,274,210,288,158,288
277,276,354,276,354,285,277,285
108,278,144,278,144,292,108,292
361,278,368,278,368,284,361,284
149,285,176,285,176,300,149,300
200,284,249,288,247,305,198,300
102,308,146,308,146,330,102,330
321,306,366,306,366,317,321,317
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
104,342,162,342,162,354,104,354
289,344,319,341,321,355,291,358
325,341,362,344,361,358,324,354
179,340,222,346,220,358,177,351
228,344,250,344,250,352,228,352
365,344,386,344,386,352,365,352
