133,41,144,41,144,52,133,52
158,41,184,43,183,53,158,51
242,42,266,42,266,52,242,52
359,44,386,42,387,52,360,54
45,44,54,44,54,53,45,53
53,42,65,42,65,53,53,53
310,44,345,42,345,51,310,53
34,45,46,45,46,53,34,53
81,44,117,44,117,64,81,64
126,45,134,45,134,56,126,56
385,45,397,45,397,50,385,50
114,46,126,46,126,53,114,53
224,46,232,46,232,50,224,50
265,46,281,46,281,50,265,50
281,46,293,46,293,52,281,52
290,45,318,45,318,73,290,73
349,46,357,46,357,53,349,53
177,46,200,46,200,64,177,64
198,53,206,53,206,62,198,62
205,56,242,52,243,62,207,66
328,54,371,50,373,73,330,76
69,53,89,53,89,72,69,72
153,54,161,54,161,64,153,64
116,54,136,54,136,85,116,85
130,56,145,56,145,64,130,64
142,56,154,56,154,68,142,68
256,57,269,57,269,64,256,64
376,57,388,57,388,62,376,62
388,57,396,57,396,62,388,62
254,57,298,57,298,74,254,74
80,65,104,65,104,74,80,74
102,65,113,65,113,74,102,74
188,65,213,65,213,74,188,74
112,66,118,66,118,74,112,74
169,68,181,68,181,74,169,74
212,68,228,68,228,74,212,74
226,68,237,68,237,74,226,74
318,68,336,68,336,74,318,74
369,68,394,68,394,73,369,73
94,74,128,74,128,85,94,85
133,73,146,73,146,84,133,84
74,76,88,76,88,86,74,86
216,76,234,76,234,85,216,85
266,76,286,76,286,85,266,85
189,77,197,77,197,85,189,85
336,77,368,77,368,85,336,85
86,78,96,78,96,86,86,86
173,78,189,78,189,84,173,84
208,78,217,78,217,85,208,85
249,78,264,78,264,84,249,84
308,78,326,78,326,84,308,84
366,78,374,78,374,85,366,85
296,80,308,80,308,84,296,84
