190,0,202,0,202,2,190,2
241,0,249,0,249,5,241,5
254,0,262,0,262,5,254,5
261,0,270,0,270,5,261,5
273,0,288,0,288,6,273,6
286,0,310,0,310,6,286,6
310,0,320,0,320,6,310,6
318,0,344,0,344,6,318,6
158,5,170,5,170,12,158,12
172,5,184,5,184,12,172,12
236,6,248,6,248,10,236,10
270,6,280,6,280,12,270,12
96,20,119,22,118,31,95,29
166,21,176,21,176,30,166,30
174,20,185,20,185,30,174,30
74,24,94,24,94,30,74,30
289,24,308,24,308,32,289,32
306,24,317,24,317,32,306,32
353,24,386,24,386,33,353,33
138,25,152,25,152,30,138,30
152,25,162,25,162,32,152,32
214,25,226,25,226,32,214,32
233,25,240,25,240,33,233,33
256,25,273,25,273,30,256,30
274,25,286,25,286,33,274,33
344,25,354,25,354,33,344,33
385,25,394,25,394,32,385,32
321,26,340,26,340,33,321,33
120,32,128,32,128,40,120,40
129,32,138,32,138,40,129,40
74,34,89,34,89,41,74,41
88,34,97,34,97,41,88,41
88,49,120,49,120,54,88,54
94,60,114,60,114,64,94,64
89,65,104,65,104,70,89,70
104,66,114,66,114,70,104,70
46,94,60,94,60,109,46,109
58,94,72,94,72,110,58,110
37,96,49,96,49,108,37,108
84,96,98,96,98,109,84,109
98,100,139,97,140,107,98,110
82,121,97,121,97,130,82,130
104,121,133,121,133,130,104,130
104,144,114,144,114,152,104,152
144,145,158,145,158,153,144,153
156,146,179,144,180,153,157,155
209,145,250,145,250,154,209,154
178,146,185,146,185,154,178,154
285,145,307,147,306,156,284,154
98,154,105,154,105,162,98,162
150,156,164,156,164,164,150,164
205,157,222,157,222,165,205,165
254,157,265,157,265,166,254,166
162,158,172,158,172,164,162,164
221,158,232,158,232,166,221,166
244,158,254,158,254,166,244,166
86,306,116,308,115,318,86,316
186,309,194,309,194,318,186,318
200,309,212,309,212,317,200,317
213,308,242,311,240,321,212,318
144,310,156,310,156,318,144,318
174,310,186,310,186,318,174,318
241,312,257,312,257,320,241,320
273,313,303,311,304,320,274,323
304,313,316,313,316,320,304,320
314,313,329,313,329,322,314,322
328,314,337,314,337,322,328,322
80,317,92,317,92,329,80,329
90,320,112,320,112,329,90,329
173,321,186,321,186,332,173,332
230,322,257,320,257,330,230,332
185,322,196,322,196,332,185,332
197,322,212,322,212,330,197,330
220,324,232,324,232,332,220,332
274,325,286,325,286,332,274,332
285,325,297,325,297,333,285,333
296,325,304,325,304,333,296,333
302,325,314,325,314,333,302,333
313,325,330,325,330,333,313,333
102,332,126,332,126,341,102,341
156,333,172,333,172,341,156,341
312,333,324,333,324,342,312,342
191,335,223,333,224,342,192,344
240,334,250,334,250,340,240,340
257,334,294,334,294,344,257,344
350,336,358,336,358,344,350,344
333,337,352,337,352,344,333,344
